time_pm0_1,time_pm0_3,time_pm0_5,time_pm1_0,time_pm2_5,time_pm5_0,time_pm10_0
12.685238095238095,12.685238095238095,12.685238095238095,12.685238095238095,12.685238095238095,12.685238095238095,12.685238095238095
24.917142857142856,24.917142857142856,24.917142857142856,24.917142857142856,24.917142857142856,24.917142857142856,24.917142857142856
37.43333333333333,37.43333333333333,37.43333333333333,37.43333333333333,37.43333333333333,37.43333333333333,37.43333333333333
50.00523809523809,50.00523809523809,50.00523809523809,50.00523809523809,50.00523809523809,50.00523809523809,50.00523809523809
62.20857142857143,62.20857142857143,62.20857142857143,62.20857142857143,62.20857142857143,62.20857142857143,62.20857142857143
73.90761904761904,73.90761904761904,73.90761904761904,73.90761904761904,73.90761904761904,73.90761904761904,73.90761904761904
85.52380952380953,85.52380952380953,85.52380952380953,85.52380952380953,85.52380952380953,85.52380952380953,85.52380952380953
96.89857142857142,96.89857142857142,96.89857142857142,96.89857142857142,96.89857142857142,96.89857142857142,96.89857142857142
108.37714285714286,108.37714285714286,108.37714285714286,108.37714285714286,108.37714285714286,108.37714285714286,108.37714285714286
119.73476190476191,119.73476190476191,119.73476190476191,119.73476190476191,119.73476190476191,119.73476190476191,119.73476190476191
