time_pm0_1,time_pm0_3,time_pm0_5,time_pm1_0,time_pm2_5,time_pm5_0,time_pm10_0
16.21238095238095,16.21238095238095,16.21238095238095,16.21238095238095,16.21238095238095,16.21238095238095,16.21238095238095
30.804761904761904,30.804761904761904,30.804761904761904,30.804761904761904,30.804761904761904,30.804761904761904,30.804761904761904
45.52285714285714,45.52285714285714,45.52285714285714,45.52285714285714,45.52285714285714,45.52285714285714,45.52285714285714
61.338095238095235,61.338095238095235,61.338095238095235,61.338095238095235,61.338095238095235,61.338095238095235,61.338095238095235
77.39238095238096,77.39238095238096,77.39238095238096,77.39238095238096,77.39238095238096,77.39238095238096,77.39238095238096
93.51,93.51,93.51,93.51,93.51,93.51,93.51
109.6,109.6,109.6,109.6,109.6,109.6,109.6
125.69238095238096,125.69238095238096,125.69238095238096,125.69238095238096,125.69238095238096,125.69238095238096,125.69238095238096
141.16333333333333,141.16333333333333,141.16333333333333,141.16333333333333,141.16333333333333,141.16333333333333,141.16333333333333
156.69476190476192,156.69476190476192,156.69476190476192,156.69476190476192,156.69476190476192,156.69476190476192,156.69476190476192
