γ_pm0_1,γ_pm0_3,γ_pm0_5,γ_pm1_0,γ_pm2_5,γ_pm5_0,γ_pm10_0
0.00022198890611223153,0.05617764510384422,0.5400212235295494,1.9711000448338707,12.956858455805257,18.07105966148719,18.07105966148719
0.00043869647224880617,0.11372552967153526,1.3416518286870573,5.129736057029186,29.05848945493797,36.30881758082265,36.30881758082265
0.0005524361505391187,0.14490326900516204,1.4720504403279173,5.875121856115019,35.90418710722693,45.10451299358443,45.045700929230215
0.0006988124704249482,0.18226763488833203,2.1397460038977565,8.541330710822828,49.189158253353845,60.01431376450248,60.005047741831326
0.000827606186499627,0.21995594490985496,2.9481598578569526,11.600701217254622,62.971822241720474,73.1035923002499,73.12986844006593
0.00114765514395945,0.3062077555549085,3.9825671231609054,15.74460666530615,85.88657857704595,99.16671261754233,99.19015216305267
0.0012999414842584669,0.34509634035531755,4.479044917629191,17.648406307036225,96.12712876156995,109.95895229688337,110.04446380473928
0.0013643230350947892,0.36305109234788946,4.914871248254306,19.402011202718757,106.22207890970934,119.60686173485972,119.70865257707135
0.0014622219917546223,0.3871443522298082,5.3339014721940226,20.958493225191436,116.58929090902613,130.38812591889177,130.5161283499023
0.0014621516326942725,0.3877296242004713,5.2315268114730005,20.400585961839145,111.61737356796228,125.38237385933532,125.50797936563309
